t,v
'0:0:1.02,0.36
'0:0:1.03,0.38
'0:0:1.04,0.36
'0:0:1.05,0.38
'0:0:1.06,0.36
'0:0:1.07,0.38
'0:0:1.08,0.36
'0:0:1.09,0.38
'0:0:1.1,0.36
'0:0:1.11,0.38
'0:0:1.12,0.36
'0:0:1.13,0.38
'0:0:1.14,0.36
'0:0:1.15,0.38
'0:0:1.16,0.36
'0:0:1.17,0.38
'0:0:1.18,0.36
'0:0:1.19,0.38
'0:0:1.2,0.36
'0:0:1.21,0.38
'0:0:1.22,0.36
'0:0:1.23,0.38
'0:0:1.24,0.36
'0:0:1.25,0.38
'0:0:1.26,0.36
'0:0:1.27,0.38
'0:0:1.28,0.36
'0:0:1.29,0.39
'0:0:1.3,0.36
'0:0:1.31,0.39
'0:0:1.32,0.36
'0:0:1.33,0.39
'0:0:1.34,0.37
'0:0:1.35,0.39
'0:0:1.36,0.37
'0:0:1.37,0.39
'0:0:1.38,0.37
'0:0:1.39,0.39
'0:0:1.4,0.37
'0:0:1.41,0.39
'0:0:1.42,0.37
'0:0:1.43,0.39
'0:0:1.44,0.37
'0:0:1.45,0.39
'0:0:1.46,0.37
'0:0:1.47,0.39
'0:0:1.48,0.37
'0:0:1.49,0.39
'0:0:1.5,0.37
'0:0:1.51,0.40
'0:0:1.52,0.38
'0:0:1.53,0.40
'0:0:1.54,0.38
'0:0:1.55,0.40
'0:0:1.56,0.38
'0:0:1.57,0.40
'0:0:1.58,0.38
'0:0:1.59,0.41
'0:0:1.6,0.39
'0:0:1.61,0.41
'0:0:1.62,0.39
'0:0:1.63,0.41
'0:0:1.64,0.39
'0:0:1.65,0.41
'0:0:1.66,0.39
'0:0:1.67,0.41
'0:0:1.68,0.39
'0:0:1.69,0.41
'0:0:1.7,0.39
'0:0:1.71,0.41
'0:0:1.72,0.39
'0:0:1.73,0.41
'0:0:1.74,0.39
'0:0:1.75,0.41
'0:0:1.76,0.39
'0:0:1.77,0.41
'0:0:1.78,0.39
'0:0:1.79,0.41
'0:0:1.8,0.39
'0:0:1.81,0.41
'0:0:1.82,0.38
'0:0:1.83,0.41
'0:0:1.84,0.38
'0:0:1.85,0.41
'0:0:1.86,0.38
'0:0:1.87,0.40
'0:0:1.88,0.38
'0:0:1.89,0.40
'0:0:1.9,0.38
'0:0:1.91,0.40
'0:0:1.92,0.37
'0:0:1.93,0.40
'0:0:1.94,0.37
'0:0:1.95,0.40
'0:0:1.96,0.37
'0:0:1.97,0.39
'0:0:1.98,0.37
'0:0:1.99,0.39
'0:0:2.0,0.36
'0:0:2.01,0.39
'0:0:2.02,0.36
'0:0:2.03,0.38
'0:0:2.04,0.36
'0:0:2.05,0.38
'0:0:2.06,0.35
'0:0:2.07,0.38
'0:0:2.08,0.35
'0:0:2.09,0.37
'0:0:2.1,0.35
'0:0:2.11,0.37
'0:0:2.12,0.34
'0:0:2.13,0.37
'0:0:2.14,0.34
'0:0:2.15,0.37
'0:0:2.16,0.34
'0:0:2.17,0.36
'0:0:2.18,0.34
'0:0:2.19,0.36
'0:0:2.2,0.34
'0:0:2.21,0.36
'0:0:2.22,0.34
'0:0:2.23,0.36
'0:0:2.24,0.33
'0:0:2.25,0.36
'0:0:2.26,0.33
'0:0:2.27,0.36
'0:0:2.28,0.33
'0:0:2.29,0.36
'0:0:2.3,0.33
'0:0:2.31,0.36
'0:0:2.32,0.34
'0:0:2.33,0.36
'0:0:2.34,0.34
'0:0:2.35,0.36
'0:0:2.36,0.34
'0:0:2.37,0.36
'0:0:2.38,0.34
'0:0:2.39,0.37
'0:0:2.4,0.34
'0:0:2.41,0.37
'0:0:2.42,0.34
'0:0:2.43,0.37
'0:0:2.44,0.35
'0:0:2.45,0.37
'0:0:2.46,0.35
'0:0:2.47,0.38
'0:0:2.48,0.35
'0:0:2.49,0.38
'0:0:2.5,0.36
'0:0:2.51,0.39
'0:0:2.52,0.36
'0:0:2.53,0.39
'0:0:2.54,0.37
'0:0:2.55,0.40
'0:0:2.56,0.37
'0:0:2.57,0.40
'0:0:2.58,0.38
'0:0:2.59,0.41
'0:0:2.6,0.38
'0:0:2.61,0.41
'0:0:2.62,0.39
'0:0:2.63,0.42
'0:0:2.64,0.39
'0:0:2.65,0.42
'0:0:2.66,0.40
'0:0:2.67,0.43
'0:0:2.68,0.40
'0:0:2.69,0.43
'0:0:2.7,0.41
'0:0:2.71,0.44
'0:0:2.72,0.41
'0:0:2.73,0.44
'0:0:2.74,0.42
'0:0:2.75,0.45
'0:0:2.76,0.42
'0:0:2.77,0.45
'0:0:2.78,0.43
'0:0:2.79,0.46
'0:0:2.8,0.43
'0:0:2.81,0.46
'0:0:2.82,0.43
'0:0:2.83,0.46
'0:0:2.84,0.44
'0:0:2.85,0.47
'0:0:2.86,0.45
'0:0:2.87,0.48
'0:0:2.88,0.45
'0:0:2.89,0.48
'0:0:2.9,0.46
'0:0:2.91,0.49
'0:0:2.92,0.46
'0:0:2.93,0.50
'0:0:2.94,0.47
'0:0:2.95,0.50
'0:0:2.96,0.48
'0:0:2.97,0.51
'0:0:2.98,0.49
'0:0:2.99,0.52
'0:0:3.0,0.49
'0:0:3.01,0.53
'0:0:3.02,0.50
'0:0:3.03,0.54
'0:0:3.04,0.51
'0:0:3.05,0.54
'0:0:3.06,0.52
'0:0:3.07,0.55
'0:0:3.08,0.53
'0:0:3.09,0.56
'0:0:3.1,0.53
'0:0:3.11,0.56
'0:0:3.12,0.54
'0:0:3.13,0.57
'0:0:3.14,0.55
'0:0:3.15,0.58
'0:0:3.16,0.55
'0:0:3.17,0.59
'0:0:3.18,0.56
'0:0:3.19,0.59
'0:0:3.2,0.57
'0:0:3.21,0.60
'0:0:3.22,0.57
'0:0:3.23,0.60
'0:0:3.24,0.58
'0:0:3.25,0.61
'0:0:3.26,0.59
'0:0:3.27,0.62
'0:0:3.28,0.59
'0:0:3.29,0.62
'0:0:3.3,0.59
'0:0:3.31,0.62
'0:0:3.32,0.59
'0:0:3.33,0.62
'0:0:3.34,0.59
'0:0:3.35,0.62
'0:0:3.36,0.59
'0:0:3.37,0.62
'0:0:3.38,0.59
'0:0:3.39,0.62
'0:0:3.4,0.59
'0:0:3.41,0.62
'0:0:3.42,0.59
'0:0:3.43,0.62
'0:0:3.44,0.59
'0:0:3.45,0.62
'0:0:3.46,0.59
'0:0:3.47,0.62
'0:0:3.48,0.59
'0:0:3.49,0.62
'0:0:3.5,0.59
'0:0:3.51,0.62
'0:0:3.52,0.59
'0:0:3.53,0.62
'0:0:3.54,0.59
'0:0:3.55,0.62
'0:0:3.56,0.59
'0:0:3.57,0.62
'0:0:3.58,0.59
'0:0:3.59,0.62
'0:0:3.6,0.59
'0:0:3.61,0.63
'0:0:3.62,0.60
'0:0:3.63,0.63
'0:0:3.64,0.61
'0:0:3.65,0.64
'0:0:3.66,0.61
'0:0:3.67,0.65
'0:0:3.68,0.63
'0:0:3.69,0.66
'0:0:3.7,0.64
'0:0:3.71,0.68
'0:0:3.72,0.66
'0:0:3.73,0.69
'0:0:3.74,0.67
'0:0:3.75,0.71
'0:0:3.76,0.69
'0:0:3.77,0.73
'0:0:3.78,0.71
'0:0:3.79,0.75
'0:0:3.8,0.73
'0:0:3.81,0.77
'0:0:3.82,0.75
'0:0:3.83,0.79
'0:0:3.84,0.77
'0:0:3.85,0.81
'0:0:3.86,0.79
'0:0:3.87,0.83
'0:0:3.88,0.81
'0:0:3.89,0.85
'0:0:3.9,0.82
'0:0:3.91,0.86
'0:0:3.92,0.84
'0:0:3.93,0.88
'0:0:3.94,0.86
'0:0:3.95,0.89
'0:0:3.96,0.87
'0:0:3.97,0.91
'0:0:3.98,0.89
'0:0:3.99,0.93
'0:0:4.0,0.91
'0:0:4.01,0.95
'0:0:4.02,0.93
'0:0:4.03,0.97
'0:0:4.04,0.95
'0:0:4.05,0.98
'0:0:4.06,0.96
'0:0:4.07,1.00
'0:0:4.08,0.97
'0:0:4.09,1.01
'0:0:4.1,0.98
'0:0:4.11,1.02
'0:0:4.12,0.99
'0:0:4.13,1.03
'0:0:4.14,1.00
'0:0:4.15,1.03
'0:0:4.16,1.01
'0:0:4.17,1.04
'0:0:4.18,1.01
'0:0:4.19,1.04
'0:0:4.2,1.02
'0:0:4.21,1.05
'0:0:4.22,1.02
'0:0:4.23,1.05
'0:0:4.24,1.02
'0:0:4.25,1.06
'0:0:4.26,1.03
'0:0:4.27,1.06
'0:0:4.28,1.03
'0:0:4.29,1.06
'0:0:4.3,1.03
'0:0:4.31,1.06
'0:0:4.32,1.04
'0:0:4.33,1.07
'0:0:4.34,1.04
'0:0:4.35,1.07
'0:0:4.36,1.04
'0:0:4.37,1.07
'0:0:4.38,1.04
'0:0:4.39,1.07
'0:0:4.4,1.04
'0:0:4.41,1.07
'0:0:4.42,1.05
'0:0:4.43,1.08
'0:0:4.44,1.05
'0:0:4.45,1.08
'0:0:4.46,1.06
'0:0:4.47,1.10
'0:0:4.48,1.07
'0:0:4.49,1.09
'0:0:4.5,1.07
'0:0:4.51,1.10
'0:0:4.52,1.07
'0:0:4.53,1.11
'0:0:4.54,1.07
'0:0:4.55,1.09
'0:0:4.56,1.07
'0:0:4.57,1.12
'0:0:4.58,1.10
'0:0:4.59,1.13
'0:0:4.6,1.09
'0:0:4.61,1.11
'0:0:4.62,1.08
'0:0:4.63,1.12
'0:0:4.64,1.09
'0:0:4.65,1.13
'0:0:4.66,1.11
'0:0:4.67,1.15
'0:0:4.68,1.11
'0:0:4.69,1.13
'0:0:4.7,1.10
'0:0:4.71,1.14
'0:0:4.72,1.12
'0:0:4.73,1.17
'0:0:4.74,1.15
'0:0:4.75,1.18
'0:0:4.76,1.14
'0:0:4.77,1.17
'0:0:4.78,1.14
'0:0:4.79,1.18
'0:0:4.8,1.17
'0:0:4.81,1.23
'0:0:4.82,1.21
'0:0:4.83,1.24
'0:0:4.84,1.21
'0:0:4.85,1.23
'0:0:4.86,1.19
'0:0:4.87,1.22
'0:0:4.88,1.20
'0:0:4.89,1.24
'0:0:4.9,1.23
'0:0:4.91,1.28
'0:0:4.92,1.27
'0:0:4.93,1.30
'0:0:4.94,1.27
'0:0:4.95,1.30
'0:0:4.96,1.27
'0:0:4.97,1.30
'0:0:4.98,1.28
'0:0:4.99,1.32
'0:0:5.0,1.30
'0:0:5.01,1.35
'0:0:5.02,1.33
'0:0:5.03,1.35
'0:0:5.04,1.31
'0:0:5.05,1.33
'0:0:5.06,1.30
'0:0:5.07,1.33
'0:0:5.08,1.31
'0:0:5.09,1.35
'0:0:5.1,1.34
'0:0:5.11,1.38
'0:0:5.12,1.35
'0:0:5.13,1.38
'0:0:5.14,1.34
'0:0:5.15,1.36
'0:0:5.16,1.33
'0:0:5.17,1.36
'0:0:5.18,1.34
'0:0:5.19,1.38
'0:0:5.2,1.37
'0:0:5.21,1.41
'0:0:5.22,1.38
'0:0:5.23,1.41
'0:0:5.24,1.37
'0:0:5.25,1.40
'0:0:5.26,1.36
'0:0:5.27,1.39
'0:0:5.28,1.36
'0:0:5.29,1.39
'0:0:5.3,1.37
'0:0:5.31,1.40
'0:0:5.32,1.37
'0:0:5.33,1.40
'0:0:5.34,1.37
'0:0:5.35,1.40
'0:0:5.36,1.37
'0:0:5.37,1.40
'0:0:5.38,1.37
'0:0:5.39,1.40
'0:0:5.4,1.37
'0:0:5.41,1.40
'0:0:5.42,1.37
'0:0:5.43,1.39
'0:0:5.44,1.37
'0:0:5.45,1.40
'0:0:5.46,1.36
'0:0:5.47,1.39
'0:0:5.48,1.37
'0:0:5.49,1.39
'0:0:5.5,1.36
'0:0:5.51,1.39
'0:0:5.52,1.36
'0:0:5.53,1.39
'0:0:5.54,1.36
'0:0:5.55,1.39
'0:0:5.56,1.35
'0:0:5.57,1.38
'0:0:5.58,1.35
'0:0:5.59,1.38
'0:0:5.6,1.35
'0:0:5.61,1.38
'0:0:5.62,1.35
'0:0:5.63,1.38
'0:0:5.64,1.35
'0:0:5.65,1.38
'0:0:5.66,1.35
'0:0:5.67,1.37
'0:0:5.68,1.34
'0:0:5.69,1.37
'0:0:5.7,1.33
'0:0:5.71,1.36
'0:0:5.72,1.33
'0:0:5.73,1.36
'0:0:5.74,1.33
'0:0:5.75,1.36
'0:0:5.76,1.33
'0:0:5.77,1.36
'0:0:5.78,1.33
'0:0:5.79,1.36
'0:0:5.8,1.32
'0:0:5.81,1.35
'0:0:5.82,1.31
'0:0:5.83,1.34
'0:0:5.84,1.31
'0:0:5.85,1.33
'0:0:5.86,1.30
'0:0:5.87,1.32
'0:0:5.88,1.29
'0:0:5.89,1.31
'0:0:5.9,1.28
'0:0:5.91,1.30
'0:0:5.92,1.27
'0:0:5.93,1.30
'0:0:5.94,1.26
'0:0:5.95,1.29
'0:0:5.96,1.25
'0:0:5.97,1.27
'0:0:5.98,1.24
'0:0:5.99,1.26
'0:0:6.0,1.22
'0:0:6.01,1.25
'0:0:6.02,1.21
'0:0:6.03,1.23
'0:0:6.04,1.19
'0:0:6.05,1.22
'0:0:6.06,1.18
'0:0:6.07,1.20
'0:0:6.08,1.17
'0:0:6.09,1.19
'0:0:6.1,1.15
'0:0:6.11,1.18
'0:0:6.12,1.14
'0:0:6.13,1.16
'0:0:6.14,1.13
'0:0:6.15,1.15
'0:0:6.16,1.12
'0:0:6.17,1.14
'0:0:6.18,1.11
'0:0:6.19,1.14
'0:0:6.2,1.10
'0:0:6.21,1.12
'0:0:6.22,1.09
'0:0:6.23,1.11
'0:0:6.24,1.08
'0:0:6.25,1.11
'0:0:6.26,1.07
'0:0:6.27,1.10
'0:0:6.28,1.06
'0:0:6.29,1.09
'0:0:6.3,1.05
'0:0:6.31,1.07
'0:0:6.32,1.04
'0:0:6.33,1.06
'0:0:6.34,1.02
'0:0:6.35,1.04
'0:0:6.36,1.00
'0:0:6.37,1.01
'0:0:6.38,0.97
'0:0:6.39,0.99
'0:0:6.4,0.96
'0:0:6.41,0.98
'0:0:6.42,0.94
'0:0:6.43,0.96
'0:0:6.44,0.92
'0:0:6.45,0.94
'0:0:6.46,0.90
'0:0:6.47,0.91
'0:0:6.48,0.88
'0:0:6.49,0.89
'0:0:6.5,0.85
'0:0:6.51,0.87
'0:0:6.52,0.83
'0:0:6.53,0.85
'0:0:6.54,0.81
'0:0:6.55,0.82
'0:0:6.56,0.78
'0:0:6.57,0.80
'0:0:6.58,0.76
'0:0:6.59,0.78
'0:0:6.6,0.74
'0:0:6.61,0.76
'0:0:6.62,0.72
'0:0:6.63,0.74
'0:0:6.64,0.70
'0:0:6.65,0.72
'0:0:6.66,0.68
'0:0:6.67,0.71
'0:0:6.68,0.67
'0:0:6.69,0.69
'0:0:6.7,0.65
'0:0:6.71,0.67
'0:0:6.72,0.63
'0:0:6.73,0.65
'0:0:6.74,0.61
'0:0:6.75,0.63
'0:0:6.76,0.60
'0:0:6.77,0.62
'0:0:6.78,0.58
'0:0:6.79,0.60
'0:0:6.8,0.57
'0:0:6.81,0.59
'0:0:6.82,0.55
'0:0:6.83,0.57
'0:0:6.84,0.54
'0:0:6.85,0.56
'0:0:6.86,0.53
'0:0:6.87,0.55
'0:0:6.88,0.52
'0:0:6.89,0.54
'0:0:6.9,0.50
'0:0:6.91,0.52
'0:0:6.92,0.49
'0:0:6.93,0.51
'0:0:6.94,0.48
'0:0:6.95,0.50
'0:0:6.96,0.47
'0:0:6.97,0.49
'0:0:6.98,0.46
'0:0:6.99,0.48
'0:0:7.0,0.44
'0:0:7.01,0.47
'0:0:7.02,0.43
'0:0:7.03,0.46
'0:0:7.04,0.42
'0:0:7.05,0.45
'0:0:7.06,0.42
'0:0:7.07,0.44
'0:0:7.08,0.41
'0:0:7.09,0.43
'0:0:7.1,0.40
'0:0:7.11,0.42
'0:0:7.12,0.39
'0:0:7.13,0.41
'0:0:7.14,0.38
'0:0:7.15,0.41
'0:0:7.16,0.38
'0:0:7.17,0.40
'0:0:7.18,0.37
'0:0:7.19,0.40
'0:0:7.2,0.37
'0:0:7.21,0.40
'0:0:7.22,0.37
'0:0:7.23,0.39
'0:0:7.24,0.37
'0:0:7.25,0.39
'0:0:7.26,0.36
'0:0:7.27,0.39
'0:0:7.28,0.36
'0:0:7.29,0.39
'0:0:7.3,0.36
'0:0:7.31,0.39
'0:0:7.32,0.36
'0:0:7.33,0.39
'0:0:7.34,0.36
'0:0:7.35,0.39
'0:0:7.36,0.36
'0:0:7.37,0.39
'0:0:7.38,0.36
'0:0:7.39,0.39
'0:0:7.4,0.36
'0:0:7.41,0.39
'0:0:7.42,0.36
'0:0:7.43,0.39
'0:0:7.44,0.37
'0:0:7.45,0.39
'0:0:7.46,0.37
'0:0:7.47,0.40
'0:0:7.48,0.37
'0:0:7.49,0.40
'0:0:7.5,0.37
'0:0:7.51,0.40
'0:0:7.52,0.38
'0:0:7.53,0.41
'0:0:7.54,0.38
'0:0:7.55,0.41
'0:0:7.56,0.39
'0:0:7.57,0.42
'0:0:7.58,0.39
'0:0:7.59,0.42
'0:0:7.6,0.39
'0:0:7.61,0.42
'0:0:7.62,0.40
'0:0:7.63,0.42
'0:0:7.64,0.40
'0:0:7.65,0.43
'0:0:7.66,0.40
'0:0:7.67,0.43
'0:0:7.68,0.41
'0:0:7.69,0.44
'0:0:7.7,0.41
'0:0:7.71,0.44
'0:0:7.72,0.41
'0:0:7.73,0.44
'0:0:7.74,0.41
'0:0:7.75,0.44
'0:0:7.76,0.42
'0:0:7.77,0.44
'0:0:7.78,0.42
'0:0:7.79,0.45
'0:0:7.8,0.42
'0:0:7.81,0.45
'0:0:7.82,0.43
'0:0:7.83,0.46
'0:0:7.84,0.43
'0:0:7.85,0.46
'0:0:7.86,0.43
'0:0:7.87,0.46
'0:0:7.88,0.43
'0:0:7.89,0.46
'0:0:7.9,0.43
'0:0:7.91,0.45
'0:0:7.92,0.43
'0:0:7.93,0.45
'0:0:7.94,0.43
'0:0:7.95,0.45
'0:0:7.96,0.43
'0:0:7.97,0.46
'0:0:7.98,0.43
'0:0:7.99,0.46
'0:0:8.0,0.43
'0:0:8.01,0.46
'0:0:8.02,0.43
'0:0:8.03,0.46
'0:0:8.04,0.43
'0:0:8.05,0.45
'0:0:8.06,0.43
'0:0:8.07,0.45
'0:0:8.08,0.43
'0:0:8.09,0.45
'0:0:8.1,0.43
'0:0:8.11,0.45
'0:0:8.12,0.43
'0:0:8.13,0.45
'0:0:8.14,0.42
'0:0:8.15,0.45
'0:0:8.16,0.42
'0:0:8.17,0.44
'0:0:8.18,0.42
'0:0:8.19,0.44
'0:0:8.2,0.41
'0:0:8.21,0.43
'0:0:8.22,0.41
'0:0:8.23,0.43
'0:0:8.24,0.40
'0:0:8.25,0.43
'0:0:8.26,0.40
'0:0:8.27,0.42
'0:0:8.28,0.40
'0:0:8.29,0.42
'0:0:8.3,0.39
'0:0:8.31,0.41
'0:0:8.32,0.39
'0:0:8.33,0.41
'0:0:8.34,0.38
'0:0:8.35,0.40
'0:0:8.36,0.38
'0:0:8.37,0.40
'0:0:8.38,0.37
'0:0:8.39,0.40
'0:0:8.4,0.37
'0:0:8.41,0.39
'0:0:8.42,0.37
'0:0:8.43,0.39
'0:0:8.44,0.36
'0:0:8.45,0.38
'0:0:8.46,0.36
'0:0:8.47,0.38
'0:0:8.48,0.35
'0:0:8.49,0.38
'0:0:8.5,0.35
'0:0:8.51,0.38
'0:0:8.52,0.35
'0:0:8.53,0.37
'0:0:8.54,0.35
'0:0:8.55,0.37
'0:0:8.56,0.35
'0:0:8.57,0.37
'0:0:8.58,0.35
'0:0:8.59,0.37
'0:0:8.6,0.35
'0:0:8.61,0.37
'0:0:8.62,0.35
'0:0:8.63,0.37
'0:0:8.64,0.35
'0:0:8.65,0.37
'0:0:8.66,0.35
'0:0:8.67,0.37
'0:0:8.68,0.35
'0:0:8.69,0.37
'0:0:8.7,0.35
'0:0:8.71,0.37
'0:0:8.72,0.35
'0:0:8.73,0.37
'0:0:8.74,0.35
'0:0:8.75,0.37
'0:0:8.76,0.35
'0:0:8.77,0.37
'0:0:8.78,0.35
'0:0:8.79,0.37
'0:0:8.8,0.35
'0:0:8.81,0.37
'0:0:8.82,0.35
'0:0:8.83,0.37
'0:0:8.84,0.35
'0:0:8.85,0.37
'0:0:8.86,0.35
'0:0:8.87,0.37
'0:0:8.88,0.35
'0:0:8.89,0.37
'0:0:8.9,0.35
'0:0:8.91,0.37
'0:0:8.92,0.35
'0:0:8.93,0.37
'0:0:8.94,0.35
'0:0:8.95,0.37
'0:0:8.96,0.35
'0:0:8.97,0.37
'0:0:8.98,0.35
'0:0:8.99,0.37
'0:0:9.0,0.35
'0:0:9.01,0.37
'0:0:9.02,0.35
'0:0:9.03,0.37
'0:0:9.04,0.35
'0:0:9.05,0.37
'0:0:9.06,0.35
'0:0:9.07,0.37
'0:0:9.08,0.35
'0:0:9.09,0.37
'0:0:9.1,0.34
'0:0:9.11,0.37
'0:0:9.12,0.34
'0:0:9.13,0.37
'0:0:9.14,0.34
'0:0:9.15,0.37
'0:0:9.16,0.34
'0:0:9.17,0.37
'0:0:9.18,0.34
'0:0:9.19,0.37
'0:0:9.2,0.34
'0:0:9.21,0.37
'0:0:9.22,0.34
'0:0:9.23,0.37
'0:0:9.24,0.34
'0:0:9.25,0.37
'0:0:9.26,0.34
'0:0:9.27,0.37
'0:0:9.28,0.34
'0:0:9.29,0.37
'0:0:9.3,0.34
'0:0:9.31,0.37
'0:0:9.32,0.34
'0:0:9.33,0.37
'0:0:9.34,0.34
'0:0:9.35,0.37
'0:0:9.36,0.34
'0:0:9.37,0.36
'0:0:9.38,0.34
'0:0:9.39,0.36
'0:0:9.4,0.34
'0:0:9.41,0.36
'0:0:9.42,0.34
'0:0:9.43,0.36
'0:0:9.44,0.34
'0:0:9.45,0.36
'0:0:9.46,0.34
'0:0:9.47,0.36
'0:0:9.48,0.34
'0:0:9.49,0.37
'0:0:9.5,0.34
'0:0:9.51,0.37
'0:0:9.52,0.34
'0:0:9.53,0.36
'0:0:9.54,0.34
'0:0:9.55,0.36
'0:0:9.56,0.34
'0:0:9.57,0.36
'0:0:9.58,0.34
'0:0:9.59,0.36
'0:0:9.6,0.34
'0:0:9.61,0.37
'0:0:9.62,0.34
'0:0:9.63,0.37
'0:0:9.64,0.34
'0:0:9.65,0.37
'0:0:9.66,0.34
'0:0:9.67,0.37
'0:0:9.68,0.34
'0:0:9.69,0.37
'0:0:9.7,0.34
'0:0:9.71,0.36
'0:0:9.72,0.34
'0:0:9.73,0.37
'0:0:9.74,0.34
'0:0:9.75,0.37
'0:0:9.76,0.34
'0:0:9.77,0.36
'0:0:9.78,0.34
'0:0:9.79,0.36
'0:0:9.8,0.34
'0:0:9.81,0.36
'0:0:9.82,0.34
'0:0:9.83,0.36
'0:0:9.84,0.34
'0:0:9.85,0.36
'0:0:9.86,0.34
'0:0:9.87,0.36
'0:0:9.88,0.34
'0:0:9.89,0.36
'0:0:9.9,0.34
'0:0:9.91,0.36
'0:0:9.92,0.34
'0:0:9.93,0.36
'0:0:9.94,0.34
'0:0:9.95,0.36
'0:0:9.96,0.34
'0:0:9.97,0.36
'0:0:9.98,0.34
'0:0:9.99,0.36
'0:0:10.0,0.34
'0:0:10.01,0.36
'0:0:10.02,0.34
'0:0:10.03,0.36
'0:0:10.04,0.34
'0:0:10.05,0.36
'0:0:10.06,0.34
'0:0:10.07,0.36
'0:0:10.08,0.34
'0:0:10.09,0.36
'0:0:10.1,0.34
'0:0:10.11,0.36
'0:0:10.12,0.34
'0:0:10.13,0.36
'0:0:10.14,0.34
'0:0:10.15,0.36
'0:0:10.16,0.34
'0:0:10.17,0.36
'0:0:10.18,0.34
'0:0:10.19,0.36
'0:0:10.2,0.34
'0:0:10.21,0.36
'0:0:10.22,0.34
'0:0:10.23,0.36
'0:0:10.24,0.34
'0:0:10.25,0.36
'0:0:10.26,0.34
'0:0:10.27,0.36
'0:0:10.28,0.34
'0:0:10.29,0.36
'0:0:10.3,0.34
'0:0:10.31,0.36
'0:0:10.32,0.34
'0:0:10.33,0.36
'0:0:10.34,0.34
'0:0:10.35,0.36
'0:0:10.36,0.34
'0:0:10.37,0.36
'0:0:10.38,0.34
'0:0:10.39,0.36
'0:0:10.4,0.34
'0:0:10.41,0.36
'0:0:10.42,0.34
'0:0:10.43,0.36
'0:0:10.44,0.34
'0:0:10.45,0.36
'0:0:10.46,0.34
'0:0:10.47,0.36
'0:0:10.48,0.34
'0:0:10.49,0.36
'0:0:10.5,0.34
'0:0:10.51,0.36
'0:0:10.52,0.34
'0:0:10.53,0.36
'0:0:10.54,0.34
'0:0:10.55,0.36
'0:0:10.56,0.34
'0:0:10.57,0.36
'0:0:10.58,0.34
'0:0:10.59,0.36
'0:0:10.6,0.34
'0:0:10.61,0.36
'0:0:10.62,0.34
'0:0:10.63,0.36
'0:0:10.64,0.34
'0:0:10.65,0.36
'0:0:10.66,0.34
'0:0:10.67,0.36
'0:0:10.68,0.34
'0:0:10.69,0.36
'0:0:10.7,0.34
'0:0:10.71,0.36
'0:0:10.72,0.34
'0:0:10.73,0.36
'0:0:10.74,0.34
'0:0:10.75,0.36
